155.42, 150.65
375.92, 164.65
183.92, 150.65
205.42, 150.65
205.42, 171.65
226.42, 171.65
226.42, 186.15
226.42, 207.15
226.42, 235.65
226.42, 264.15
226.42, 292.65
226.42, 314.15
226.42, 335.65
205.42, 335.65
190.92, 335.65
190.92, 328.15
176.92, 328.15
176.92, 299.65
155.42, 299.65
155.42, 328.15
155.42, 356.65
183.92, 356.65
219.42, 356.65
240.92, 356.65
269.42, 356.65
290.42, 356.65
387.42, 136.15
318.92, 356.65
318.92, 335.65
318.92, 328.15
318.92, 299.65
297.92, 299.65
290.42, 328.15
290.42, 335.65
297.92, 328.15
254.92, 335.65
254.92, 314.15
254.92, 292.65
254.92, 271.65
254.92, 243.15
254.92, 221.65
254.92, 193.15
254.92, 171.65
276.42, 171.65
296.42, 150.65
276.42, 150.65
375.92, 150.65
308.92, 150.65
354.92, 164.65
338.42, 174.65
354.92, 174.65
338.42, 200.15
338.42, 221.65
354.92, 221.65
354.92, 200.15
361.92, 200.15
361.92, 186.15
383.42, 186.15
383.42, 179.15
404.42, 179.15
404.42, 186.15
418.92, 186.15
418.92, 200.15
432.92, 200.15
432.92, 221.65
418.92, 221.65
418.92, 235.65
397.42, 235.65
397.42, 243.15
375.92, 243.15
375.92, 257.15
368.92, 257.15
368.92, 264.15
347.42, 264.15
347.42, 278.65
336.42, 278.65
336.42, 328.15
347.42, 328.15
347.42, 342.65
368.92, 342.65
368.92, 353.65
418.92, 353.65
418.92, 342.65
432.92, 342.65
432.92, 356.65
447.42, 356.65
447.42, 321.15
447.42, 292.65
432.92, 292.65
432.92, 314.15
418.92, 314.15
418.92, 321.15
397.42, 321.15
397.42, 333.65
375.92, 333.65
375.92, 321.15
361.92, 321.15
361.92, 299.65
375.92, 299.65
375.92, 285.65
397.42, 285.65
397.42, 271.65
418.92, 271.65
418.92, 264.15
439.92, 264.15
439.92, 250.15
454.42, 250.15
454.42, 243.15
461.42, 243.15
461.42, 214.65
461.42, 193.15
447.42, 193.15
447.42, 179.15
439.92, 179.15
439.92, 167.65
419.92, 167.65
419.92, 150.65
439.92, 150.65
454.42, 150.65
475.92, 150.65
475.92, 171.65
496.92, 171.65
496.92, 193.15
496.92, 214.65
496.92, 243.15
496.92, 271.65
496.92, 292.65
496.92, 317.15
496.92, 335.65
470.42, 335.65
470.42, 356.65
496.92, 356.65
347.42, 150.65
539.92, 356.65
560.92, 356.65
589.42, 356.65
589.42, 342.65
603.92, 342.65
610.92, 342.65
610.92, 335.65
610.92, 321.15
624.92, 321.15
624.92, 278.65
610.92, 278.65
610.92, 257.15
589.42, 257.15
589.42, 250.15
575.42, 250.15
560.92, 250.15
542.92, 250.15
542.92, 264.15
560.92, 264.15
575.42, 264.15
575.42, 271.65
582.42, 271.65
582.42, 285.65
596.42, 285.65
560.92, 335.65
596.42, 314.15
582.42, 314.15
582.42, 321.15
575.42, 321.15
575.42, 335.65
525.42, 335.65
525.42, 314.15
525.42, 299.65
525.42, 281.65
525.42, 233.15
525.42, 214.65
525.42, 193.15
525.42, 171.65
546.92, 171.65
546.92, 150.65
568.42, 150.65
475.92, 160.65
603.92, 150.65
624.92, 150.65
624.92, 136.15
596.42, 136.15
575.42, 136.15
553.92, 136.15
532.42, 136.15
575.42, 356.65
489.92, 136.15
468.42, 136.15
447.42, 136.15
425.92, 136.15
404.42, 136.15
370.42, 136.15
361.92, 150.65
340.42, 136.15
326.42, 136.15
301.92, 136.15
276.42, 136.15
254.92, 136.15
315.92, 136.15
212.42, 136.15
190.92, 136.15
338.92, 150.65
155.42, 136.15
624.92, 299.65
318.92, 321.65
155.42, 314.15
311.92, 356.65
355.42, 136.15
318.92, 314.15
362.92, 164.65
254.92, 356.65
383.42, 333.65
447.42, 335.65
470.42, 345.65
525.42, 250.15
546.92, 335.65
525.42, 261.15
525.42, 356.65
336.42, 298.65
336.42, 313.15
293.42, 136.15
336.42, 306.15
425.92, 264.15
391.42, 353.65
482.92, 335.65
429.92, 167.65
330.92, 150.65
368.42, 150.65
